iter	Logloss
0	0.6514443467
1	0.617884639
2	0.5905238013
3	0.5673404379
4	0.5477211271
5	0.5317796311
6	0.517901983
7	0.5064341492
8	0.4964392084
9	0.4878045234
10	0.4805980713
11	0.4743869103
12	0.4690945673
13	0.4644672165
14	0.4604546172
15	0.4569659223
16	0.4539811529
17	0.4513840039
18	0.4491563331
19	0.447188956
20	0.4454865683
21	0.4438276037
22	0.4424444345
23	0.4413975855
24	0.4404536285
25	0.4394364872
26	0.4386156413
27	0.4379514644
28	0.4373340353
29	0.4368431401
30	0.4361954888
31	0.435527252
32	0.4350949999
33	0.4347960752
34	0.4343507319
35	0.4338470065
36	0.4335386157
37	0.4331986383
38	0.432711017
39	0.4324593385
40	0.4322278485
41	0.4318941875
42	0.4314903482
43	0.4312621084
44	0.4310085839
45	0.4307969684
46	0.4305892853
47	0.4304158532
48	0.430199451
49	0.4299881557
50	0.429701193
51	0.4294875528
52	0.4292521305
53	0.4290387917
54	0.4288859032
55	0.4286910719
56	0.4284586541
57	0.4283745116
58	0.428177151
59	0.4280492752
60	0.4279467717
61	0.4277947523
62	0.4275186482
63	0.4274600817
64	0.4273210426
65	0.4272097462
66	0.4270547496
67	0.4269062986
68	0.4268327934
69	0.4267638311
70	0.4266829596
71	0.4265710442
72	0.4264899441
73	0.4263229795
74	0.4261884531
75	0.4260270758
76	0.4258676968
77	0.4257517109
78	0.4255853119
79	0.425494682
80	0.4253761339
81	0.4253470286
82	0.4252257403
83	0.4251398252
84	0.4250197949
85	0.4249030143
86	0.4247744845
87	0.424682909
88	0.4245843042
89	0.4245063541
90	0.4243821291
91	0.424229743
92	0.4241538121
93	0.4240714916
94	0.4240105889
95	0.4239279873
96	0.4238047982
97	0.4236671789
98	0.423480338
99	0.4234131384
