iter	Passed	Remaining
0	199	19779
1	237	11615
2	275	8922
3	321	7708
4	363	6909
5	407	6380
6	449	5966
7	488	5615
8	530	5360
9	569	5128
10	615	4981
11	660	4841
12	701	4696
13	741	4552
14	780	4424
15	826	4341
16	868	4239
17	915	4171
18	971	4141
19	1065	4263
20	1119	4212
21	1157	4102
22	1192	3991
23	1232	3902
24	1268	3806
25	1310	3729
26	1352	3656
27	1390	3576
28	1432	3506
29	1471	3434
30	1509	3360
31	1552	3299
32	1596	3241
33	1635	3175
34	1682	3124
35	1723	3063
36	1764	3004
37	1808	2950
38	1847	2889
39	1889	2834
40	1933	2782
41	1978	2731
42	2021	2679
43	2065	2628
44	2108	2577
45	2152	2526
46	2192	2471
47	2232	2418
48	2270	2363
49	2320	2320
50	2364	2272
51	2406	2221
52	2447	2170
53	2487	2118
54	2528	2069
55	2573	2021
56	2613	1971
57	2658	1925
58	2703	1878
59	2746	1831
60	2790	1784
61	2829	1733
62	2870	1685
63	2917	1641
64	2964	1596
65	3005	1548
66	3042	1498
67	3080	1449
68	3115	1399
69	3152	1351
70	3190	1303
71	3228	1255
72	3263	1207
73	3306	1161
74	3344	1114
75	3378	1066
76	3419	1021
77	3456	974
78	3493	928
79	3536	884
80	3574	838
81	3615	793
82	3657	749
83	3701	705
84	3745	661
85	3788	616
86	3827	571
87	3863	526
88	3904	482
89	3943	438
90	3980	393
91	4023	349
92	4058	305
93	4104	262
94	4143	218
95	4183	174
96	4222	130
97	4264	87
98	4305	43
99	4343	0
